source,target,country,meaning,source_word
She said she'd love a cup of tea.,She said she'd fancy a cuppa.,British,A wish or desire for tea,I'd love a cup of tea
"After the meal, I'd love a cup of tea.","After the meal, do you fancy a cuppa?",British,A wish or desire for tea,I'd love a cup of tea
garbage,rubbish,British,Waste material,garbage
Take out the garbage.,Take out the rubbish.,British,Waste material,garbage
This garbage smells.,This rubbish smells.,British,Waste material,garbage
The garbage truck arrives every week.,The rubbish truck arrives every week.,British,Waste material,garbage
I forgot to put the garbage out.,I forgot to put the rubbish out.,British,Waste material,garbage
sign saying 'Now leasing',sign saying 'To let',British,A sign indicating property is available for lease,sign saying 'Now leasing'
Look for the sign saying 'Now leasing'.,Look for the sign saying 'To let'.,British,A sign indicating property is available for lease,sign saying 'Now leasing'
The sign says 'Now leasing'.,The sign says 'To let'.,British,A sign indicating property is available for lease,sign saying 'Now leasing'
There's a sign saying 'Now leasing' on the building.,There's a sign saying 'To let' on the building.,British,A sign indicating property is available for lease,sign saying 'Now leasing'
The building had a sign saying 'Now leasing'.,The building had a sign saying 'To let'.,British,A sign indicating property is available for lease,sign saying 'Now leasing'
bathroom,toilet,British,A room with a toilet and sometimes a shower,bathroom
I need to go to the bathroom.,I need to go to the toilet.,British,A room with a toilet and sometimes a shower,bathroom
Where's the bathroom?,Where's the toilet?,British,A room with a toilet and sometimes a shower,bathroom
The bathroom is on the second floor.,The toilet is on the second floor.,British,A room with a toilet and sometimes a shower,bathroom
Iâm going to use the bathroom.,Iâm going to use the toilet.,British,A room with a toilet and sometimes a shower,bathroom
That's it.,Bob's your uncle.,British,An expression used to say that something is simple or easily completed,That's it.
"Just follow the instructions, and that's it.","Just follow the instructions, and Bob's your uncle.",British,An expression used to say that something is simple or easily completed,That's it.
"You just need to press this button, and that's it.","You just need to press this button, and Bob's your uncle.",British,An expression used to say that something is simple or easily completed,That's it.
"All you have to do is sign here, and that's it.","All you have to do is sign here, and Bob's your uncle.",British,An expression used to say that something is simple or easily completed,That's it.
"You turn it on, and that's it.","You turn it on, and Bob's your uncle.",British,An expression used to say that something is simple or easily completed,That's it.
I like you.,I fancy you.,British,Expressing affection or attraction towards someone,I like you
I like you a lot.,I fancy you a lot.,British,Expressing affection or attraction towards someone,I like you
I really like you.,I really fancy you.,British,Expressing affection or attraction towards someone,I like you
"I like you, you're fun to be around.","I fancy you, you're fun to be around.",British,Expressing affection or attraction towards someone,I like you
"I like you, do you like me?","I fancy you, do you fancy me?",British,Expressing affection or attraction towards someone,I like you
That's bull.,That's total rubbish.,British,An expression used to call something false or nonsense,That's bull.
What you're saying is bull.,What you're saying is total rubbish.,British,An expression used to call something false or nonsense,That's bull.
"That's total bull, I don't believe it.","That's total rubbish, I don't believe it.",British,An expression used to call something false or nonsense,That's bull.
Stop talking bull.,Stop talking rubbish.,British,An expression used to call something false or nonsense,That's bull.
That sounds like bull.,That sounds like rubbish.,British,An expression used to call something false or nonsense,That's bull.
french fries,chips,British,Thin strips of deep-fried potatoes,french fries
Iâd like a burger with french fries.,Iâd like a burger with chips.,British,Thin strips of deep-fried potatoes,french fries
Can I get extra french fries?,Can I get extra chips?,British,Thin strips of deep-fried potatoes,french fries
She loves dipping french fries in ketchup.,She loves dipping chips in ketchup.,British,Thin strips of deep-fried potatoes,french fries
The french fries are too salty.,The chips are too salty.,British,Thin strips of deep-fried potatoes,french fries
flashlight,torch,British,A portable hand-held light source,flashlight
He used a flashlight to see in the dark.,He used a torch to see in the dark.,British,A portable hand-held light source,flashlight
The flashlight ran out of batteries.,The torch ran out of batteries.,British,A portable hand-held light source,flashlight
Do you have a flashlight?,Do you have a torch?,British,A portable hand-held light source,flashlight
She kept a flashlight in her bag for emergencies.,She kept a torch in her bag for emergencies.,British,A portable hand-held light source,flashlight
cart,trolley,British,A wheeled vehicle used for transporting items,cart
He pushed the cart down the aisle.,He pushed the trolley down the aisle.,British,A wheeled vehicle used for transporting items,cart
The cart is full of groceries.,The trolley is full of groceries.,British,A wheeled vehicle used for transporting items,cart
Please return the cart to the front.,Please return the trolley to the front.,British,A wheeled vehicle used for transporting items,cart
She grabbed a cart at the entrance.,She grabbed a trolley at the entrance.,British,A wheeled vehicle used for transporting items,cart
bangs,fringe,British,Hair that is cut and styled to cover the forehead,bangs
She decided to cut bangs.,She decided to cut a fringe.,British,Hair that is cut and styled to cover the forehead,bangs
Her bangs were getting too long.,Her fringe was getting too long.,British,Hair that is cut and styled to cover the forehead,bangs
He brushed his bangs to the side.,He brushed his fringe to the side.,British,Hair that is cut and styled to cover the forehead,bangs
The bangs framed her face perfectly.,The fringe framed her face perfectly.,British,Hair that is cut and styled to cover the forehead,bangs
cookie,biscuit,British,A small baked sweet snack,cookie
I love eating a chocolate chip cookie.,I love eating a chocolate chip biscuit.,British,A small baked sweet snack,cookie
She baked a batch of cookies.,She baked a batch of biscuits.,British,A small baked sweet snack,cookie
Would you like a cookie with your tea?,Would you like a biscuit with your tea?,British,A small baked sweet snack,cookie
The cookies are in the jar.,The biscuits are in the jar.,British,A small baked sweet snack,cookie
fall,autumn,British,The season after summer and before winter,fall
The leaves turn color in the fall.,The leaves turn color in the autumn.,British,The season after summer and before winter,fall
Fall is my favorite season.,Autumn is my favorite season.,British,The season after summer and before winter,fall
